ts_iso,elapsed_s,class,kind,run_status,latency_s,ok,ans_chars,err
2026-05-29T11:05:10+00:00,13.6,normal,policy_question,completed,7.58,1,85,
2026-05-29T11:05:25+00:00,28.3,normal,inline_summary,completed,3.31,1,419,
2026-05-29T11:05:39+00:00,42.6,normal,inline_summary,completed,1.94,1,120,
2026-05-29T11:04:56+00:00,0.0,normal,policy_question,completed,44.70,1,92,
2026-05-29T11:05:50+00:00,53.4,normal,policy_question,completed,2.22,1,82,
2026-05-29T11:06:17+00:00,80.8,normal,inline_summary,completed,2.71,1,88,
2026-05-29T11:06:18+00:00,81.6,normal,policy_question,completed,2.03,1,257,
2026-05-29T11:06:17+00:00,80.6,edge,non_english,completed,6.30,1,1107,
2026-05-29T11:06:23+00:00,86.7,adversarial,off_topic,completed,1.94,1,204,
2026-05-29T11:06:27+00:00,90.6,adversarial,prompt_injection,content_filtered,0.73,1,0,BadRequestError: Error code: 400 - {'error': {'message': 'The response was filtered due to the prompt triggering Azure OpenAI’s content management policy. Please modify your prompt and retry. To learn
2026-05-29T11:06:29+00:00,92.6,edge,multi_intent,completed,4.45,1,639,
2026-05-29T11:06:34+00:00,97.8,normal,plan_trip,completed,3.27,1,514,
2026-05-29T11:06:36+00:00,99.9,edge,multi_intent,completed,3.91,1,845,
2026-05-29T11:06:37+00:00,100.8,normal,plan_trip,completed,3.65,1,829,
2026-05-29T11:06:39+00:00,102.7,normal,receipt_expense,completed,1.89,1,188,
2026-05-29T11:06:40+00:00,104.0,adversarial,pii_fishing,completed,1.81,1,264,
2026-05-29T11:06:44+00:00,107.6,normal,inline_summary,completed,1.94,1,237,
2026-05-29T11:06:49+00:00,112.8,adversarial,off_topic,completed,2.20,1,201,
2026-05-29T11:06:51+00:00,114.9,normal,plan_trip,completed,3.70,1,741,
2026-05-29T11:05:14+00:00,17.6,normal,inline_summary,completed,109.69,1,120,
2026-05-29T11:07:04+00:00,127.3,adversarial,prompt_injection,content_filtered,0.60,1,0,BadRequestError: Error code: 400 - {'error': {'message': 'The response was filtered due to the prompt triggering Azure OpenAI’s content management policy. Please modify your prompt and retry. To learn
2026-05-29T11:06:54+00:00,117.4,adversarial,pii_fishing,completed,11.99,1,211,
2026-05-29T11:07:04+00:00,127.9,edge,multi_intent,completed,3.46,1,699,
2026-05-29T11:07:08+00:00,131.4,edge,policy_question_long,completed,5.72,1,1655,
2026-05-29T11:07:13+00:00,137.1,edge,typos,completed,4.26,1,874,
2026-05-29T11:07:06+00:00,129.4,edge,typos,completed,28.70,1,91,
2026-05-29T11:07:34+00:00,158.1,edge,ambiguous,completed,2.40,1,261,
2026-05-29T11:06:51+00:00,114.2,normal,inline_summary,completed,46.58,1,133,
2026-05-29T11:06:55+00:00,118.6,normal,receipt_expense,completed,48.10,1,212,
2026-05-29T11:07:18+00:00,141.4,edge,policy_question_long,completed,28.03,1,1502,
