ts_iso,elapsed_s,class,kind,run_status,latency_s,ok,ans_chars,err
2026-05-29T10:51:59+00:00,0.0,normal,plan_trip,completed,3.15,1,622,
2026-05-29T10:52:01+00:00,2.1,edge,non_english,completed,2.05,1,60,
2026-05-29T10:52:05+00:00,6.9,adversarial,prompt_injection,,0.76,0,0,BadRequestError: Error code: 400 - {'error': {'message': 'The response was filtered due to the prompt triggering Azure OpenAI’s content management policy. Please modify your prompt and retry. To learn
2026-05-29T10:52:04+00:00,5.8,edge,typos,completed,3.53,1,879,
2026-05-29T10:52:09+00:00,10.1,normal,receipt_expense,completed,2.36,1,485,
2026-05-29T10:52:09+00:00,10.5,normal,plan_trip,completed,3.20,1,551,
2026-05-29T10:52:10+00:00,11.0,edge,ambiguous,completed,11.47,1,269,
2026-05-29T10:52:11+00:00,12.4,normal,receipt_expense,completed,10.66,1,203,
2026-05-29T10:52:22+00:00,23.1,normal,policy_question,completed,1.53,1,83,
2026-05-29T10:52:21+00:00,22.4,normal,plan_trip,completed,5.39,1,1210,
2026-05-29T10:52:26+00:00,27.8,normal,plan_trip,completed,4.12,1,727,
2026-05-29T10:52:30+00:00,31.9,normal,receipt_expense,completed,2.09,1,299,
2026-05-29T10:52:03+00:00,4.1,normal,plan_trip,completed,31.61,1,713,
2026-05-29T10:52:33+00:00,34.0,adversarial,policy_violation_request,completed,2.67,1,280,
2026-05-29T10:52:35+00:00,36.7,adversarial,prompt_injection,,0.50,0,0,BadRequestError: Error code: 400 - {'error': {'message': 'The response was filtered due to the prompt triggering Azure OpenAI’s content management policy. Please modify your prompt and retry. To learn
2026-05-29T10:52:34+00:00,35.7,normal,policy_question,completed,1.79,1,198,
2026-05-29T10:52:36+00:00,37.5,edge,ambiguous,completed,16.85,1,317,
2026-05-29T10:52:53+00:00,54.4,edge,ambiguous,completed,2.61,1,370,
2026-05-29T10:52:12+00:00,13.7,adversarial,policy_violation_request,completed,49.55,1,286,
2026-05-29T10:53:02+00:00,63.3,edge,policy_question_long,completed,5.61,1,1684,
2026-05-29T10:52:56+00:00,57.0,edge,typos,completed,29.79,1,686,
2026-05-29T10:52:23+00:00,24.6,normal,plan_trip,completed,82.70,1,499,
2026-05-29T10:52:36+00:00,37.2,normal,policy_question,completed,84.16,1,166,
